nrServers,threads,concurrency,overwrite,time,avg,std,tps
1,1,1,1.0,30,22.0,6.28,42448.0
1,1,2,1.0,30,22.0,12.04,82497.0
1,1,4,1.0,30,25.0,8.72,149433.0
1,1,8,1.0,30,50.0,22.62,155698.0
1,1,16,1.0,30,102.0,46.12,155113.0
1,1,32,1.0,30,206.0,68.92,154077.0
1,1,1,1.0,30,21.0,5.01,44729.0
1,1,2,1.0,30,21.0,6.71,86892.0
1,1,4,1.0,30,27.0,8.02,142982.0
1,1,8,1.0,30,49.0,22.75,157262.0
1,1,16,1.0,30,95.0,35.28,165626.0
1,1,32,1.0,30,178.0,53.07,178609.0
1,1,1,1.0,30,21.0,7.46,43376.0
1,1,2,1.0,30,21.0,7.56,86708.0
1,1,4,1.0,30,26.0,5.43,147789.0
1,1,8,1.0,30,48.0,19.6,162900.0
1,1,16,1.0,30,103.0,42.21,153140.0
1,1,32,1.0,30,187.0,51.56,170173.0
1,1,1,1.0,30,20.0,7.82,45130.0
1,1,2,1.0,30,22.0,5.39,85286.0
1,1,4,1.0,30,26.0,5.24,147628.0
1,1,8,1.0,30,49.0,19.74,159809.0
1,1,16,1.0,30,91.0,32.92,172496.0
1,1,32,1.0,30,199.0,70.89,159631.0
1,1,1,1.0,30,20.0,8.25,45120.0
1,1,2,1.0,30,21.0,4.09,88974.0
1,1,4,1.0,30,26.0,10.49,143467.0
1,1,8,1.0,30,56.0,30.94,137775.0
1,1,16,1.0,30,94.0,38.22,167056.0
1,1,32,1.0,30,202.0,79.6,157301.0
